Date,Close,High,Low,Open,Volume
2015-01-02,95.9439468383789,96.84621490065445,95.21141419396601,96.18514370244657,394000
2015-01-05,92.71903991699219,94.77370188340419,92.593973832758,94.53250495397836,678700
2015-01-06,89.97651672363281,91.74531255894323,89.81571648264176,91.66491584624326,1081300
2015-01-07,90.48570251464844,90.59290493078049,89.52090121623014,89.76210494862976,855100
2015-01-08,92.37957000732422,93.12996646563607,90.98596587453221,91.06636938968848,481600
2015-01-09,91.20038604736328,92.22772062349634,90.19985719318845,92.22772062349634,440600
2015-01-12,92.4153060913086,93.38904271043867,91.6559743225281,93.30863918765992,1115500
2015-01-13,92.4153060913086,94.08584143509822,91.88824283594482,92.9959739670551,809200
2015-01-14,92.11156463623047,92.7726291368201,91.36116138466159,91.96862808713551,592800
2015-01-15,91.084228515625,91.86143065068237,90.46782658728331,90.66436093055687,1283000
2015-01-16,92.04902648925781,92.12049475983731,90.43209605703592,90.92342508219376,633700
2015-01-20,92.73692321777344,92.9959906801454,91.81679105366139,92.11159266418036,947000
2015-01-21,95.22037506103516,95.61344381924826,93.12997880819104,93.85357646254617,1569100
2015-01-22,96.12262725830078,96.43529243809637,95.05063040883313,95.37223082679138,589400
2015-01-23,94.076904296875,95.2561036876336,94.05010539501988,95.13103760191605,974600
2015-01-26,95.87251281738281,95.89931172122947,95.01491381633456,95.58664648370005,995200
2015-01-27,94.98809814453125,95.89035955418684,94.80049903512989,95.52409657361937,911900
2015-01-28,93.47836303710938,95.68489660130807,93.42476523897979,95.5687657668307,753700
2015-01-29,94.818359375,95.0952904102849,93.74636255437039,94.9344902056315,632600
2015-01-30,92.85302734375,94.92555947806895,92.73688970034928,94.6486216339198,1073800
2015-02-02,92.0579833984375,92.2009131576543,90.65545063219305,91.99545035085683,1177900
2015-02-03,92.80834197998047,92.8440761090553,91.85247617789042,92.28127891120019,716800
2015-02-04,90.9770278930664,91.93290072968999,90.80729926056942,91.62916397077629,789900
2015-02-05,92.10264587402344,92.24558244868794,90.78944506055508,91.62024515791724,569900
2015-02-06,90.03903198242188,91.3432973169496,89.72636680215662,90.70009648006693,964800
2015-02-09,88.1272964477539,89.20822849407384,88.05582817636346,88.32383078628288,798800
2015-02-10,91.20930480957031,91.45050855447553,90.28917284073208,90.49464244507392,679400
2015-02-11,92.38848876953125,92.71902440289539,91.71848908084478,91.9686212074601,715300
2015-02-12,92.94235229492188,92.99595008595018,92.09368198196994,92.74581797369956,443500
2015-02-13,93.33543395996094,93.48729893278932,92.75476615231085,93.38009652018643,359100
2015-02-17,91.98651123046875,92.30811169462822,91.09317812237927,91.57557881861847,493700
2015-02-18,92.64757537841797,92.96917584103737,92.24557820793909,92.54037295234795,311900
2015-02-19,93.442626953125,93.95182647151726,92.64756115801407,92.73689309156559,275400
2015-02-20,93.66598510742188,93.85358426245327,91.65598539775364,91.65598539775364,582500
2015-02-23,93.90718078613281,94.43424405970424,93.80891359689222,94.36277577378547,452200
2015-02-24,98.93663024902344,99.02596218635604,96.37276207247926,96.95342988852605,2153800
2015-02-25,97.34650421142578,98.2130383663169,96.8551683043462,97.98970510229714,1152300
2015-02-26,96.39956665039062,97.07849481858034,96.04223208968611,96.12262878765995,608300
2015-02-27,96.1941146850586,96.86411455327298,95.3633145758491,96.06011334829749,686800
2015-03-02,98.20409393310547,98.50782387225249,97.36435875802187,97.60556247731127,600500
2015-03-03,96.91771697998047,98.23091787475079,96.53358343127617,98.15944958299384,651300
2015-03-04,96.93558502197266,97.25718551119654,95.87251635950533,96.6854528227077,536600
2015-03-05,97.68597412109375,98.08797810956017,97.12317671594964,97.56090803106171,402500
2015-03-06,95.87251281738281,96.81944376978362,95.3007801500173,96.71224815439696,652500
2015-03-09,96.41742706298828,96.64969554195929,95.6491601688139,95.9886242414718,506000
2015-03-10,94.82732391357422,95.76531971755863,94.65758841855204,95.57772055676175,626000
2015-03-11,95.3007583618164,96.4620939106614,94.97022272023082,95.33649249730588,551100
2015-03-12,93.6213150024414,95.28291517396484,93.10318014990379,95.24718103079766,1529800
2015-03-13,94.2287826538086,94.4610443631008,93.51411341521006,93.88931169845836,1429100
2015-03-16,96.31024169921875,96.47997717338322,95.19357529674905,95.46157795957811,420100
2015-03-17,95.38118743896484,95.80999039483707,94.96132653948781,95.24719290487205,694400
2015-03-18,95.42584991455078,95.8993154089579,93.26398525696783,94.67545331562431,1703300
2015-03-19,95.71170806884766,96.00650962845214,94.97917519732756,95.10424128644631,641200
2015-03-20,98.4095687866211,98.87409895831223,97.12316705641479,97.71276330569931,747800
2015-03-23,98.90984344482422,99.33863952269307,98.20410946709133,98.57930773912427,562600
2015-03-24,98.6150131225586,99.51728121268343,98.45421293635405,99.35648102647889,628600
2015-03-25,93.46942901611328,98.03436117571866,93.30862880404067,97.99862703797032,1733200
2015-03-26,88.5114517211914,90.23558500415939,87.92184856015983,90.23558500415939,4330300
2015-03-27,90.9948959350586,91.22716441323864,89.28862670839652,89.32436084470034,1260200
2015-03-30,92.12051391601562,92.39744500261136,90.73584485185528,90.73584485185528,990600
2015-03-31,90.25343322753906,91.31650169417034,90.19983542773917,90.64650193431164,1224100
2015-04-01,89.63703918457031,90.33384472146354,88.93131203957246,90.33384472146354,641600
2015-04-02,89.994384765625,91.1289217476924,89.76212304057728,90.77158710415326,498700
2015-04-06,89.53876495361328,90.40529219365933,89.33329537539048,90.15516005710258,916400
2015-04-07,89.48519134521484,90.99492674111707,89.44052877140689,90.16412653365971,1161800
2015-04-08,89.30651092529297,89.49411005806036,88.61864062288855,89.15464593432756,630400
2015-04-09,89.994384765625,90.10158720336418,88.87771826430985,89.61025121654893,1609700
2015-04-10,89.35118103027344,89.85145224212317,88.96704749297744,89.0921204076333,846300
2015-04-13,89.16358184814453,90.21771526528654,88.96704745951939,89.6817167244124,1037700
2015-04-14,89.30651092529297,90.19984402357044,88.94917632286385,90.10157683751267,1137300
2015-04-15,85.88504028320312,89.40477473862616,85.66170701705883,89.38690426060398,4129100
2015-04-16,84.9738540649414,85.8761156645223,84.11625503475858,84.71478662630422,2293600
2015-04-17,84.41996002197266,84.9648936424939,83.92862419507999,84.64329324954402,1671200
2015-04-20,85.8314208984375,85.97435060872388,84.81302200613803,84.85768455878248,1129100
2015-04-21,87.32331848144531,88.20771642266165,86.73371531024023,87.69851678188967,2396700
2015-04-22,96.31024169921875,99.33864043746935,95.03277506216976,98.10584318275549,4849300
2015-04-23,97.09636688232422,97.3375637957782,95.9975642829251,97.23036138113756,1357000
2015-04-24,96.44924926757812,97.38529413751964,95.94521718357666,97.25928783322641,1748100
2015-04-27,98.74437713623047,99.82444008006595,98.33035541115038,98.61837082280736,4075600
2015-04-28,98.81637573242188,99.04138797148828,97.98833234069636,98.78037295015181,1076200
2015-04-29,96.88126373291016,98.27634228452342,96.38623408767236,97.9163213486076,2160600
2015-04-30,96.34121704101562,97.81729641128713,95.80118917549649,97.22326095243727,1989500
2015-05-01,97.5383071899414,97.70031627562516,96.67426102190429,96.75526213133189,637400
2015-05-04,97.10627746582031,98.52835640799168,96.98927357823469,98.52835640799168,676900
2015-05-05,94.9011459350586,96.60223758662481,94.52312022717823,96.60223758662481,1636800
2015-05-06,95.22517395019531,96.60224763355671,95.00915727556091,96.47624134010063,1305500
2015-05-07,95.60317993164062,95.91819562277843,94.78413226785527,95.1621579640477,1104600
2015-05-08,96.97125244140625,97.48427996502114,96.43122455341592,96.54822842131856,951900
2015-05-11,97.76331329345703,97.99732106167336,96.72825569246658,96.77325401704906,459800
2015-05-12,97.77230072021484,98.0423181126025,97.08826856200048,97.5202881496277,483600
2015-05-13,97.7273178100586,98.38434970600751,97.11528424205174,98.00633079051674,468900
2015-05-14,99.52740478515625,99.95942439339349,98.46534685356688,98.9153712844636,729100
2015-05-15,99.95042419433594,100.34644100564013,99.54539810529369,99.98642010432287,795100
2015-05-18,99.9234390258789,100.13045332156648,98.65437348037466,98.96938926352614,554700
2015-05-19,100.10343933105469,100.57146173566028,99.5274085868502,99.87842710701143,476500
2015-05-20,100.4814682006836,101.05749900210779,100.040446120462,100.31045669603839,531600
2015-05-21,100.38246154785156,100.64347657582957,99.95044188327529,100.20245449874957,365900
2015-05-22,99.88743591308594,100.23845445571799,99.41040419944092,99.89643145850728,253200
2015-05-26,98.07832336425781,99.47339494859017,97.56529579923769,99.347388660117,541400
2015-05-27,101.2824935913086,101.62451654097208,98.57334469430643,98.6543526596369,588500
2015-05-28,102.42555236816406,102.73156565267831,101.2554862250548,102.32654645450894,588100
2015-05-29,101.07546997070312,102.49754167278654,100.35542827669579,101.9485114261419,542600
2015-06-01,100.47244262695312,101.1204788458756,99.3743888858092,100.97647461213018,856200
2015-06-02,99.05037689208984,100.27444385522695,99.05037689208984,100.23844107786084,735800
2015-06-03,100.55345916748047,101.63351504662246,100.30144658680253,101.03048396188198,1029300
2015-06-04,99.53640747070312,102.31756222392383,99.33840247503849,100.86848290312881,1372200
2015-06-05,98.19534301757812,99.01439089106897,97.88032724578504,98.6453675106622,997100
2015-06-08,97.02528381347656,97.74531888496921,96.42224577173008,97.35829754481647,803100
2015-06-09,97.43028259277344,97.81730385141783,96.53023379284019,97.67329274735137,844100
2015-06-10,98.09632110595703,99.06837550077026,97.52029039795534,98.04232037296552,497000
2015-06-11,99.00537109375,100.62546173110604,98.52834631353616,99.905419921875,872700
2015-06-12,97.12427520751953,97.78130702603214,96.26922467545111,96.8902605825839,583600
2015-06-15,97.54728698730469,97.69129809214267,95.57618477433357,95.83719975173186,841800
2015-06-16,98.2943344116211,98.60035459239002,96.9622659546113,97.45728870366216,538400
2015-06-17,97.04327392578125,97.59230431432503,96.53924872980464,97.1782826366545,557600
2015-06-18,98.04232788085938,99.23939457724322,96.39523673021048,96.44024192236827,1387500
2015-06-19,97.93431091308594,98.24033108578061,97.53829409765962,98.06931961083865,479900
2015-06-22,100.72447967529297,101.7055297189825,100.1754492752513,100.77848041404184,709000
2015-06-23,99.91442108154297,100.92247136164852,99.87841830484956,100.7514667558892,479800
2015-06-24,98.97837829589844,99.90542756106083,98.81636921977494,99.50040830416616,404900
2015-06-25,99.23939514160156,99.98643052114039,98.91537698334182,99.76141829272825,395600
2015-06-26,97.9073257446289,100.0314418607176,97.37630014902108,99.59041978863989,869400
2015-06-29,94.10911560058594,95.92721831701125,93.63209075787715,95.24317919530866,1043600
2015-06-30,93.72209930419922,95.21618393081188,92.903058290139,95.1441783632291,754300
2015-07-01,95.09017181396484,97.11528192746553,94.739153276971,96.97127080109449,1305400
2015-07-02,94.14510345458984,94.80214210242228,93.34406056897542,94.79313969167734,942800
2015-07-06,91.73297119140625,92.80403145079,90.85992276486594,90.98592904634317,720300
2015-07-07,90.14889526367188,90.58091486218252,87.58375057185064,89.34784547722913,1286700
2015-07-08,87.43075561523438,88.69082553534102,87.10673743958327,88.29480179469442,784400
2015-07-09,89.66284942626953,91.9129710623419,89.2848237726214,91.57995058814573,1683600
2015-07-10,92.43501281738281,93.73108534010676,91.48096324750418,93.58708109693058,2272000
2015-07-13,92.97505950927734,93.50608509499928,92.66003688254354,93.41608157314471,859000
2015-07-14,92.7680435180664,93.47008058914525,92.21001070593348,92.93905501321633,1238200
2015-07-15,96.01719665527344,97.35826731043123,95.18015108031955,95.48616434563571,2298700
2015-07-16,90.32891845703125,93.82110611532175,89.3478614733729,93.74010500115959,4115500
2015-07-17,90.49993896484375,90.98595943180773,89.47388354911158,90.90495830959028,2782500
2015-07-20,90.90492248535156,92.14698727101452,90.68891271106821,91.84997640643499,1112300
2015-07-21,90.81494140625,91.76899110613796,90.38291488419344,90.90494492885344,1525300
2015-07-22,90.76089477539062,90.98590691856661,89.6178361094599,90.05885798737364,1894400
2015-07-23,91.7419662475586,92.07498674581036,90.87792030091195,91.0669297079759,897100
2015-07-24,88.68181610107422,90.9589386958295,87.70976165108938,90.79692962083203,1994700
2015-07-27,88.77184295654297,89.95091198279017,88.50183233844177,89.54588575539354,844600
2015-07-28,89.17684936523438,89.83388123674179,87.50275781110425,87.97078023189741,1558700
2015-07-29,89.12283325195312,89.40185306222348,88.31279478817412,89.05083456343186,568000
2015-07-30,89.18582916259766,89.47385136063299,87.91676396993338,88.08777543331009,1170500
2015-07-31,89.25784301757812,90.46391205018122,89.02383526014064,90.24789538155429,714400
2015-08-03,88.33080291748047,89.44686168662568,87.58376064505335,89.41085890480441,817900
2015-08-04,87.11572265625,88.53780138347983,86.76470417971986,88.36678991707844,786500
2015-08-05,88.77184295654297,89.2938730984338,88.5288327135689,88.62783866692165,1052100
2015-08-06,86.72872161865234,88.30380735828794,86.62071326730465,88.23180179072281,1421400
2015-08-07,87.2777099609375,87.29570791073407,86.10764408622008,86.4496669337847,501400
2015-08-10,89.48286437988281,89.7798821794929,87.61976334015445,87.61976334015445,777400
2015-08-11,89.27583312988281,90.0768759269418,88.74480082387564,90.06787351719207,637800
2015-08-12,87.37675476074219,87.66477015351924,85.46864849182633,86.73772082260649,1103800
2015-08-13,85.25263214111328,86.72871177451165,85.18062658172114,86.52169750796628,895800
2015-08-14,83.42554473876953,83.83056404558873,81.99446324547233,83.02952097791237,2399900
2015-08-17,83.85755157470703,83.97456232258367,82.33647365376213,82.56148587127512,2569500
2015-08-18,83.56954193115234,84.63159994518284,83.36253452229472,84.61360198795415,2575200
2015-08-19,81.83245086669922,82.57949316132007,81.10341339693814,82.01246478115354,1624600
2015-08-20,78.70027160644531,80.63537109044755,78.30424792530034,80.57236794724973,1952200
2015-08-21,77.32318878173828,80.48235484279901,77.21518046334984,79.63631371598326,2453900
2015-08-24,76.774169921875,76.774169921875,73.8670091047414,76.00012735880517,4016800
